name,majorType,minorType,platform,lead,team,host,cluster
VM1,Type1,Minor1,Platform1,Lead1,Team1,Host1,Cluster1
VM2,Type2,Minor2,Platform2,Lead2,Team2,Host2,Cluster2
VM3,Type3,Minor3,Platform3,Lead3,Team3,Host3,Cluster3
VM4,Type4,Minor4,Platform1,Lead1,Team4,Host4,Cluster4
VM5,Type1,Minor5,Platform2,Lead2,Team1,Host5,Cluster5
VM6,Type2,Minor1,Platform3,Lead3,Team2,Host6,Cluster1
VM7,Type3,Minor2,Platform1,Lead1,Team3,Host1,Cluster2
VM8,Type4,Minor3,Platform2,Lead2,Team4,Host2,Cluster3
VM9,Type1,Minor4,Platform3,Lead3,Team1,Host3,Cluster4
VM10,Type2,Minor5,Platform1,Lead1,Team2,Host4,Cluster5
VM11,Type3,Minor1,Platform2,Lead2,Team3,Host5,Cluster1
VM12,Type4,Minor2,Platform3,Lead3,Team4,Host6,Cluster2
VM13,Type1,Minor3,Platform1,Lead1,Team1,Host1,Cluster3
VM14,Type2,Minor4,Platform2,Lead2,Team2,Host2,Cluster4
VM15,Type3,Minor5,Platform3,Lead3,Team3,Host3,Cluster5
VM16,Type4,Minor1,Platform1,Lead1,Team4,Host4,Cluster1
VM17,Type1,Minor2,Platform2,Lead2,Team1,Host5,Cluster2
VM18,Type2,Minor3,Platform3,Lead3,Team2,Host6,Cluster3
VM19,Type3,Minor4,Platform1,Lead1,Team3,Host1,Cluster4
VM20,Type4,Minor5,Platform2,Lead2,Team4,Host2,Cluster5
VM21,Type1,Minor1,Platform3,Lead3,Team1,Host3,Cluster1
VM22,Type2,Minor2,Platform1,Lead1,Team2,Host4,Cluster2
VM23,Type3,Minor3,Platform2,Lead2,Team3,Host5,Cluster3
VM24,Type4,Minor4,Platform3,Lead3,Team4,Host6,Cluster4
VM25,Type1,Minor5,Platform1,Lead1,Team1,Host1,Cluster5
VM26,Type2,Minor1,Platform2,Lead2,Team2,Host2,Cluster1
VM27,Type3,Minor2,Platform3,Lead3,Team3,Host3,Cluster2
VM28,Type4,Minor3,Platform1,Lead1,Team4,Host4,Cluster3
VM29,Type1,Minor4,Platform2,Lead2,Team1,Host5,Cluster4
VM30,Type2,Minor5,Platform3,Lead3,Team2,Host6,Cluster5
VM31,Type3,Minor1,Platform1,Lead1,Team3,Host1,Cluster1
VM32,Type4,Minor2,Platform2,Lead2,Team4,Host2,Cluster2
VM33,Type1,Minor3,Platform3,Lead3,Team1,Host3,Cluster3
VM34,Type2,Minor4,Platform1,Lead1,Team2,Host4,Cluster4
VM35,Type3,Minor5,Platform2,Lead2,Team3,Host5,Cluster5
VM36,Type4,Minor1,Platform3,Lead3,Team4,Host6,Cluster1
VM37,Type1,Minor2,Platform1,Lead1,Team1,Host1,Cluster2
VM38,Type2,Minor3,Platform2,Lead2,Team2,Host2,Cluster3
VM39,Type3,Minor4,Platform3,Lead3,Team3,Host3,Cluster4
VM40,Type4,Minor5,Platform1,Lead1,Team4,Host4,Cluster5
VM41,Type1,Minor1,Platform2,Lead2,Team1,Host5,Cluster1
VM42,Type2,Minor2,Platform3,Lead3,Team2,Host6,Cluster2
VM43,Type3,Minor3,Platform1,Lead1,Team3,Host1,Cluster3
VM44,Type4,Minor4,Platform2,Lead2,Team4,Host2,Cluster4
VM45,Type1,Minor5,Platform3,Lead3,Team1,Host3,Cluster5
VM46,Type2,Minor1,Platform1,Lead1,Team2,Host4,Cluster1
VM47,Type3,Minor2,Platform2,Lead2,Team3,Host5,Cluster2
VM48,Type4,Minor3,Platform3,Lead3,Team4,Host6,Cluster3
VM49,Type1,Minor4,Platform1,Lead1,Team1,Host1,Cluster4
VM50,Type2,Minor5,Platform2,Lead2,Team2,Host2,Cluster5
VM51,Type3,Minor1,Platform3,Lead3,Team3,Host3,Cluster1
VM52,Type4,Minor2,Platform1,Lead1,Team4,Host4,Cluster2
VM53,Type1,Minor3,Platform2,Lead2,Team1,Host5,Cluster3
VM54,Type2,Minor4,Platform3,Lead3,Team2,Host6,Cluster4
VM55,Type3,Minor5,Platform1,Lead1,Team3,Host1,Cluster5
VM56,Type4,Minor1,Platform2,Lead2,Team4,Host2,Cluster1
VM57,Type1,Minor2,Platform3,Lead3,Team1,Host3,Cluster2
VM58,Type2,Minor3,Platform1,Lead1,Team2,Host4,Cluster3
VM59,Type3,Minor4,Platform2,Lead2,Team3,Host5,Cluster4
VM60,Type4,Minor5,Platform3,Lead3,Team4,Host6,Cluster5
VM61,Type1,Minor1,Platform1,Lead1,Team1,Host1,Cluster1
VM62,Type2,Minor2,Platform2,Lead2,Team2,Host2,Cluster2
VM63,Type3,Minor3,Platform3,Lead3,Team3,Host3,Cluster3
VM64,Type4,Minor4,Platform1,Lead1,Team4,Host4,Cluster4
VM65,Type1,Minor5,Platform2,Lead2,Team1,Host5,Cluster5
VM66,Type2,Minor1,Platform3,Lead3,Team2,Host6,Cluster1
VM67,Type3,Minor2,Platform1,Lead1,Team3,Host1,Cluster2
VM68,Type4,Minor3,Platform2,Lead2,Team4,Host2,Cluster3
VM69,Type1,Minor4,Platform3,Lead3,Team1,Host3,Cluster4
VM70,Type2,Minor5,Platform1,Lead1,Team2,Host4,Cluster5
VM71,Type3,Minor1,Platform2,Lead2,Team3,Host5,Cluster1
VM72,Type4,Minor2,Platform3,Lead3,Team4,Host6,Cluster2
VM73,Type1,Minor3,Platform1,Lead1,Team1,Host1,Cluster3
VM74,Type2,Minor4,Platform2,Lead2,Team2,Host2,Cluster4
VM75,Type3,Minor5,Platform3,Lead3,Team3,Host3,Cluster5
VM76,Type4,Minor1,Platform1,Lead1,Team4,Host4,Cluster1
VM77,Type1,Minor2,Platform2,Lead2,Team1,Host5,Cluster2
VM78,Type2,Minor3,Platform3,Lead3,Team2,Host6,Cluster3
VM79,Type3,Minor4,Platform1,Lead1,Team3,Host1,Cluster4
VM80,Type4,Minor5,Platform2,Lead2,Team4,Host2,Cluster5
VM81,Type1,Minor1,Platform3,Lead3,Team1,Host3,Cluster1
VM82,Type2,Minor2,Platform1,Lead1,Team2,Host4,Cluster2
VM83,Type3,Minor3,Platform2,Lead2,Team3,Host5,Cluster3
VM84,Type4,Minor4,Platform3,Lead3,Team4,Host6,Cluster4
VM85,Type1,Minor5,Platform1,Lead1,Team1,Host1,Cluster5
VM86,Type2,Minor1,Platform2,Lead2,Team2,Host2,Cluster1
VM87,Type3,Minor2,Platform3,Lead3,Team3,Host3,Cluster2
VM88,Type4,Minor3,Platform1,Lead1,Team4,Host4,Cluster3
VM89,Type1,Minor4,Platform2,Lead2,Team1,Host5,Cluster4
VM90,Type2,Minor5,Platform3,Lead3,Team2,Host6,Cluster5
VM91,Type3,Minor1,Platform1,Lead1,Team3,Host1,Cluster1
VM92,Type4,Minor2,Platform2,Lead2,Team4,Host2,Cluster2
VM93,Type1,Minor3,Platform3,Lead3,Team1,Host3,Cluster3
VM94,Type2,Minor4,Platform1,Lead1,Team2,Host4,Cluster4
VM95,Type3,Minor5,Platform2,Lead2,Team3,Host5,Cluster5
VM96,Type4,Minor1,Platform3,Lead3,Team4,Host6,Cluster1
VM97,Type1,Minor2,Platform1,Lead1,Team1,Host1,Cluster2
VM98,Type2,Minor3,Platform2,Lead2,Team2,Host2,Cluster3
VM99,Type3,Minor4,Platform3,Lead3,Team3,Host3,Cluster4
VM100,Type4,Minor5,Platform1,Lead1,Team4,Host4,Cluster5
